segment_name,time_second,bitrate_kbps
ai_seg_9_480p.mp4,0,552.34
ai_seg_9_480p.mp4,1,662.45
ai_seg_9_480p.mp4,2,522.08
ai_seg_9_480p.mp4,3,578.5
ai_seg_9_480p.mp4,4,792.34
ai_seg_9_480p.mp4,5,769.62
ai_seg_9_480p.mp4,6,728.58
ai_seg_9_480p.mp4,7,499.1
ai_seg_9_480p.mp4,8,538.15
ai_seg_9_480p.mp4,9,481.97
ai_seg_9_720p.mp4,0,1099.82
ai_seg_9_720p.mp4,1,1307.4
ai_seg_9_720p.mp4,2,1127.01
ai_seg_9_720p.mp4,3,1232.94
ai_seg_9_720p.mp4,4,1547.71
ai_seg_9_720p.mp4,5,1652.13
ai_seg_9_720p.mp4,6,1303.26
ai_seg_9_720p.mp4,7,949.35
ai_seg_9_720p.mp4,8,1087.97
ai_seg_9_720p.mp4,9,963.25
ai_seg_10_1080p.mp4,0,2264.15
ai_seg_10_1080p.mp4,1,2717.85
ai_seg_10_1080p.mp4,2,1864.02
ai_seg_10_1080p.mp4,3,1850.43
ai_seg_10_1080p.mp4,4,2702.71
ai_seg_10_1080p.mp4,5,1973.14
ai_seg_10_1080p.mp4,6,1425.62
ai_seg_10_1080p.mp4,7,1309.32
ai_seg_10_1080p.mp4,8,1179.24
ai_seg_10_1080p.mp4,9,1398.79
ai_seg_10_360p.mp4,0,467.75
ai_seg_10_360p.mp4,1,527.17
ai_seg_10_360p.mp4,2,444.37
ai_seg_10_360p.mp4,3,490.74
ai_seg_10_360p.mp4,4,538.93
ai_seg_10_360p.mp4,5,385.85
ai_seg_10_360p.mp4,6,250.75
ai_seg_10_360p.mp4,7,194.82
ai_seg_10_360p.mp4,8,213.34
ai_seg_10_360p.mp4,9,240.89
ai_seg_10_480p.mp4,0,688.98
ai_seg_10_480p.mp4,1,814.42
ai_seg_10_480p.mp4,2,708.06
ai_seg_10_480p.mp4,3,760.16
ai_seg_10_480p.mp4,4,826.58
ai_seg_10_480p.mp4,5,566.22
ai_seg_10_480p.mp4,6,396.04
ai_seg_10_480p.mp4,7,302.73
ai_seg_10_480p.mp4,8,327.07
ai_seg_10_480p.mp4,9,357.8
ai_seg_10_720p.mp4,0,1254.72
ai_seg_10_720p.mp4,1,1564.09
ai_seg_10_720p.mp4,2,1369.22
ai_seg_10_720p.mp4,3,1403.79
ai_seg_10_720p.mp4,4,1560.93
ai_seg_10_720p.mp4,5,1081.04
ai_seg_10_720p.mp4,6,796.55
ai_seg_10_720p.mp4,7,675.05
ai_seg_10_720p.mp4,8,662.98
ai_seg_10_720p.mp4,9,767.36
